numChars,numWords,avgWordLen,hasPunctuation,capsRatio,totalEntities,hasHashtags,totalHashtags,hasURLs,totalURLs,hasUserMentions,totalUserMentions,wasRetweeted,isRetweet,numPunctuation,numDigits,gender
60,10,6,True,0.1,2,True,1,False,0,True,1,False,True,6,0,F
11,2,5,False,0.0909090909091,0,False,0,False,0,False,0,False,True,0,0,F
17,2,8,True,0.0,2,True,1,False,0,True,1,False,False,2,0,F
52,13,4,True,0.0769230769231,1,False,0,False,0,True,1,False,False,4,0,M
30,7,4,True,0.0333333333333,0,False,0,False,0,False,0,False,True,3,0,M
100,24,4,True,0.05,2,True,1,False,0,True,1,False,False,6,1,F
57,12,4,True,0.0701754385965,3,True,1,True,1,True,1,False,True,7,8,F
89,23,3,True,0.0449438202247,1,False,0,False,0,True,1,True,True,7,1,F
20,3,6,True,0.0,1,False,0,False,0,True,1,False,False,4,0,M
29,4,7,True,0.172413793103,2,False,0,False,0,True,2,False,False,2,2,F
114,24,4,True,0.114035087719,2,True,1,False,0,True,1,False,True,3,0,M
104,22,4,True,0.0961538461538,4,False,0,False,0,True,4,False,True,17,6,F
18,3,6,True,0.111111111111,1,False,0,False,0,True,1,False,False,2,4,F
70,17,4,True,0.0857142857143,2,True,1,False,0,True,1,False,False,5,2,F
19,3,6,True,0.0,1,False,0,False,0,True,1,False,False,1,1,F
69,18,3,True,0.0724637681159,1,False,0,False,0,True,1,True,True,12,0,F
19,5,3,True,0.0,1,False,0,False,0,True,1,False,False,2,0,F
78,12,6,True,0.025641025641,3,True,1,False,0,True,2,False,False,4,1,F
92,19,4,True,0.0760869565217,1,False,0,False,0,True,1,True,True,5,1,F
102,27,3,True,0.117647058824,1,False,0,False,0,True,1,True,True,10,3,F
54,13,4,True,0.333333333333,2,False,0,True,1,True,1,False,True,10,2,F
72,16,4,True,0.0694444444444,2,False,0,False,0,True,2,False,False,9,2,F
25,7,3,True,0.24,1,False,0,False,0,True,1,False,True,6,0,F
100,26,3,True,0.05,1,False,0,False,0,True,1,False,False,10,1,F
35,7,5,True,0.114285714286,1,True,1,False,0,False,0,False,True,7,3,F
